coef_log_hazard,se,hazard_ratio,ci_lower_95,ci_upper_95,p_value,n,n_treated,n_control,events,treated_events,control_events,treated_event_rate,control_event_rate,median_followup_days,ties,robust_cluster_pid,age_mean,frailty_mean,prior_outcome_count_mean,util_last30_mean,cox_covariates,Malattia_A_(Exposure),Malattia_B_(Outcome),cohort_csv,error,q_value,Significativo_FDR
0.5710053155196756,0.04833990859686466,1.7700456116007486,1.610040114733994,1.9459524259522585,3.372241913267565e-32,33712.0,8428.0,25284.0,1843.0,678.0,1165.0,0.08044613194114855,0.0460765701629489,365.0,breslow,True,55.9765662078785,0.04594803037494068,0.0568046986236355,4.436936402467964,T;age_at_t0;sex_num;frailty;util_last30,NEOP,BLD,cox_results_patched\cox_cohort_DX_NEOP_TO_BLD_d14_h365.csv,,5.4196745034657295e-31,Si
0.49492097669886,0.04718611741195132,1.6403686065927394,1.4954634915273122,1.7993145140219307,9.735983170081925e-26,31736.0,7934.0,23802.0,2080.0,713.0,1367.0,0.08986639778169901,0.05743214855894463,365.0,breslow,True,55.707556087723724,0.0671477186791026,0.11595664229896648,2.570204184522309,T;age_at_t0;sex_num;frailty;util_last30,BLD,NEOP,cox_results_patched\cox_cohort_DX_BLD_TO_NEOP_d14_h365.csv,,8.425370051032435e-25,Si
0.4456349150656608,0.12010134693915718,1.5614812891645669,1.233969581758751,1.9759188982080809,0.00020685800377092593,5828.0,1457.0,4371.0,328.0,107.0,221.0,0.07343857240905971,0.050560512468542665,365.0,breslow,True,55.084591626630065,0.02848318462594372,0.05748112560054908,2.648936170212766,T;age_at_t0;sex_num;frailty;util_last30,CONG,BLD,cox_results_patched\cox_cohort_DX_CONG_TO_BLD_d14_h365.csv,,0.00035529046449204836,Si
0.36764539772849775,0.02555810038063046,1.4443297855333814,1.3737600205080436,1.5185247046332206,6.45650512819596e-47,40192.0,10048.0,30144.0,7025.0,2246.0,4779.0,0.22352707006369427,0.1585390127388535,365.0,breslow,True,56.00952925955414,0.035305533439490444,0.2626890923566879,2.2826930732484074,T;age_at_t0;sex_num;frailty;util_last30,MENT,NERV,cox_results_patched\cox_cohort_DX_MENT_TO_NERV_d14_h365.csv,,2.075305219777273e-45,Si
0.3648457016739388,0.11376807115126639,1.4402917563960695,1.1524156243326946,1.8000800229896905,0.001341618449912817,5844.0,1461.0,4383.0,373.0,114.0,259.0,0.07802874743326489,0.059091946155601184,365.0,breslow,True,55.43001368925393,0.01676933607118412,0.1014715947980835,2.6437371663244353,T;age_at_t0;sex_num;frailty;util_last30,CONG,NEOP,cox_results_patched\cox_cohort_DX_CONG_TO_NEOP_d14_h365.csv,,0.002053497627417577,Si
0.35619827537947635,0.09851063089937116,1.4278906357559327,1.1771749276016166,1.732003986725653,0.0002993799958723896,5876.0,1469.0,4407.0,491.0,154.0,337.0,0.10483321987746766,0.0764692534604039,365.0,breslow,True,55.716814159292035,0.0371000680735194,0.09223961878829136,2.6415929203539825,T;age_at_t0;sex_num;frailty;util_last30,CONG,SKIN,cox_results_patched\cox_cohort_DX_CONG_TO_SKIN_d14_h365.csv,,0.000498966659787316,Si
0.35502372610310234,0.13546190025354599,1.4262144923921478,1.0936474579969784,1.8599117690401212,0.008771387430658683,32536.0,8134.0,24402.0,271.0,85.0,186.0,0.010449963117777232,0.007622326038849275,365.0,breslow,True,56.111353577575606,0.08031104007868207,0.007806737152692402,2.6786943693139906,T;age_at_t0;sex_num;frailty;util_last30,BLD,CONG,cox_results_patched\cox_cohort_DX_BLD_TO_CONG_d14_h365.csv,,0.012107743385878549,Si
0.3476894894991589,0.052475603769063156,1.4157925630220538,1.2774134689337426,1.5691619277990598,3.4552255168174545e-11,4984.0,1246.0,3738.0,1867.0,527.0,1340.0,0.4229534510433387,0.3584804708400214,365.0,breslow,True,53.23274478330658,0.020064205457463884,0.6687399678972713,1.9584670947030498,T;age_at_t0;sex_num;frailty;util_last30,CONG,DIGE,cox_results_patched\cox_cohort_DX_CONG_TO_DIGE_d14_h365.csv,,1.0649667688820921e-10,Si
0.3426750003435779,0.06961707893029132,1.4087108569764901,1.2290303505989573,1.614660107943083,8.554016495521634e-07,5636.0,1409.0,4227.0,975.0,288.0,687.0,0.2044002838892832,0.16252661462029808,365.0,breslow,True,55.46469127040454,0.06245564229950319,0.24059616749467708,2.4457061745919093,T;age_at_t0;sex_num;frailty;util_last30,CONG,NERV,cox_results_patched\cox_cohort_DX_CONG_TO_NERV_d14_h365.csv,,1.798741786441465e-06,Si
0.33530552436864347,0.02368075945435578,1.398367555328179,1.3349465262921465,1.4648016091144693,1.6336557785123482e-45,31464.0,7866.0,23598.0,8468.0,2584.0,5884.0,0.3285024154589372,0.24934316467497245,365.0,breslow,True,55.5593058733791,0.048944825832697686,0.3834541062801932,2.2850559369438086,T;age_at_t0;sex_num;frailty;util_last30,NEOP,GEN,cox_results_patched\cox_cohort_DX_NEOP_TO_GEN_d14_h365.csv,,4.0841394462808706e-44,Si
