method,edges,fdr_significant_edges,mean_ate,median_abs_placebo,median_ess,median_trim_frac
aipw_logistic,8,8,0.03460723698212338,0.002492858192784023,27299.53330383639,8.359522417985765e-05
chronos_full,8,8,0.05557039821659461,0.036815379088918354,36465.80803350452,0.0
naive_rd,8,7,0.044527213351991515,0.0036736599645086684,39350.0,0.0
pred_only,8,8,0.04988665413188123,0.0431956360049211,16524.09850004782,0.00400973845755605
