Malattia_A_(Exposure),Malattia_B_(Outcome),Causal_Effect_ATE,SE,z_value,p_value,CI_Lower_95,CI_Upper_95,Placebo_ATE_IPW,N,N_treated,N_control,trim_frac,ESS_ipw,e_min,e_median,e_max,n_folds,cross_fitted,q_value,global_q_value,global_fdr_significant
NEOP,GEN,0.0659835103595702,0.0076513442529282,8.623780106916165,0.0,0.0509868756238308,0.0809801450953097,-0.0211142386897376,31464,7866,23598,0.0037185354691075,11383.722291358255,0.1625386923551559,0.440862774848938,0.9904102087020874,5,True,0.0,0.0,Si
NEOP,DIGE,0.0629336829577388,0.0106362937330552,5.9168808738475285,3.28104143854091e-09,0.0420865472409506,0.0837808186745271,-0.0473103207411569,29556,7389,22167,0.020841791852754,7185.163948849324,0.1615556180477142,0.4564866125583648,0.9950618147850036,5,True,3.28104143854091e-09,3.4009040028593063e-09,Si
MENT,NERV,0.060320745206693,0.0052044380590284,11.590251343668308,0.0,0.0501200466109973,0.0705214438023888,-0.0220419576674839,40192,10048,30144,9.952229299363058e-05,16507.67197297347,0.2504237592220306,0.4468221068382263,0.9907145500183104,5,True,0.0,0.0,Si
ENDO,DIGE,0.0519163145797467,0.0065187293232061,7.964177066676051,1.7763568394002505e-15,0.0391396051062628,0.0646930240532307,-0.0448800499008366,59545,14887,44658,0.0,19498.58857019435,0.0899729207158088,0.4594912230968475,0.9873585104942322,5,True,1.7763568394002505e-15,3.552713678800501e-15,Si
MENT,MUSC,0.0503661906848472,0.0065961096465561,7.635741881753576,2.242650509742816e-14,0.0374378157775972,0.0632945655920972,-0.046971545068215,38508,9627,28881,0.0017139295730757,17196.15611781663,0.2640579342842102,0.4453495144844055,0.990552544593811,5,True,2.242650509742816e-14,3.588240815588505e-14,Si
INJ,DIGE,0.0478468806199561,0.005515804058673,8.674506946040154,0.0,0.0370359046649569,0.0586578565749554,-0.0414693567236294,61068,15267,45801,0.0060424444881116,18797.84172520516,0.2951447069644928,0.4004307389259338,0.9910613894462584,5,True,0.0,0.0,Si
BLD,ENDO,0.0330489054626527,0.0053886279840313,6.133083515987747,8.619185365432712e-10,0.0224871946139513,0.0436106163113541,-0.0468612716676314,28944,7236,21708,0.0029712548369264,15735.380326158747,0.1563902199268341,0.4680458307266235,0.993421733379364,5,True,8.619185365432712e-10,1.1492247153910282e-09,Si
NERV,GEN,0.0314102043083745,0.0053138794915443,5.910974149556049,3.4009040028593063e-09,0.0209950005049476,0.0418254081118013,-0.0253226964725079,83798,20950,62848,0.0105133774075753,21659.222835908004,0.2847211956977844,0.4346394836902618,0.992790937423706,5,True,3.4009040028593063e-09,3.4009040028593063e-09,Si
